id,x,y,group1,group2,group3,group4,group5,group6
0,389.0,1060.0,1,0,0,0,0,0
1,197.0,779.0,1,0,0,0,0,0
2,496.0,642.0,0,0,0,0,0,0
3,381.0,334.0,0,0,0,0,0,0
4,450.0,477.0,0,0,0,0,0,0
5,644.0,514.0,0,0,0,0,0,0
6,528.0,769.0,1,0,0,0,0,1
7,489.0,988.0,0,0,0,0,0,0
8,617.0,963.0,0,0,0,0,0,0
9,744.0,992.0,0,0,0,0,0,0
10,835.0,1071.0,0,0,0,0,0,0
11,933.0,1140.0,0,0,1,0,0,1
12,943.0,690.0,0,0,0,0,0,1
13,1256.0,337.0,0,0,0,1,0,0
14,265.0,222.0,0,0,0,0,0,0
15,659.0,810.0,0,1,0,0,0,0
16,1029.0,523.0,0,0,0,0,0,0
17,877.0,483.0,0,1,0,0,0,0
18,1040.0,776.0,0,0,1,0,0,0
19,851.0,844.0,0,1,0,0,0,0
20,1247.0,854.0,0,0,0,0,0,0
21,1426.0,1069.0,0,0,0,0,1,1
22,1251.0,1026.0,0,0,0,0,0,0
23,1136.0,1137.0,0,0,1,0,0,1
24,1614.0,1061.0,0,0,0,0,1,0
25,1604.0,525.0,0,0,0,0,0,0
26,1354.0,804.0,0,0,0,0,1,0
27,1377.0,937.0,0,0,0,0,0,0
28,1171.0,724.0,0,0,0,1,0,1
29,1479.0,334.0,0,0,0,0,0,0
30,1657.0,229.0,0,0,0,0,0,0
31,1483.0,671.0,0,0,0,1,0,0
