id,x,y,group1,group2,group3,group4,group5,group6
0,253.0,1048.0,0,0,0,0,0,0
1,447.0,1047.0,0,0,0,0,0,0
2,638.0,1050.0,0,0,0,0,0,0
3,830.0,1049.0,0,0,0,0,0,0
4,1013.0,1047.0,0,0,0,0,0,0
5,1213.0,1050.0,0,0,0,0,0,0
6,1409.0,1049.0,0,0,0,0,0,0
7,1597.0,1048.0,0,0,0,0,0,0
8,256.0,858.0,0,0,0,0,0,0
9,444.0,857.0,0,0,0,0,0,0
10,636.0,856.0,0,0,0,0,0,0
11,832.0,856.0,0,0,0,0,0,0
12,1020.0,856.0,0,0,0,0,0,0
13,1217.0,854.0,0,0,0,0,0,0
14,1407.0,853.0,0,0,0,0,0,0
15,1603.0,853.0,0,0,0,0,0,0
16,256.0,665.0,0,0,0,0,0,0
17,444.0,665.0,0,0,0,0,0,0
18,636.0,663.0,0,0,0,0,0,0
19,833.0,665.0,0,0,0,0,0,0
20,1026.0,662.0,0,0,0,0,0,0
21,1214.0,663.0,0,0,0,0,0,0
22,1406.0,661.0,0,0,0,0,0,0
23,1600.0,666.0,0,0,0,0,0,0
24,260.0,480.0,0,0,0,0,0,0
25,446.0,473.0,0,0,0,0,0,0
26,635.0,473.0,0,0,0,0,0,0
27,834.0,472.0,0,0,0,0,0,0
28,1017.0,465.0,0,0,0,0,0,0
29,1226.0,473.0,0,0,0,0,0,0
30,1406.0,473.0,0,0,0,0,0,0
31,1598.0,475.0,0,0,0,0,0,0
